scenario,elapsed_s,range_m,radial_speed_mps,angle_deg,x_m,y_m,snr_db
receding_person_short,3.04699999999,3.52,0.2,21.4,-1.28436628087,3.27731647184,21.5
receding_person_short,3.09299999999,3.63,0.15,12.1,-0.760915383341,3.54935314943,24.5
receding_person_short,3.14,3.76,0.1,7.4,-0.484271443132,3.72868357056,18.5
receding_person_short,3.197,3.64,0.15,11.65,-0.735034973915,3.56501382706,22.5
receding_person_short,3.245,3.65,0.15,10.95,-0.693325864018,3.58354562498,20.5
receding_person_short,3.295,3.68,0.1,11.45,-0.730526783789,3.60676179116,26.5
receding_person_short,3.45,3.59,0.2,21.5,-1.31573940394,3.34019906906,20.5
receding_person_short,3.49399999999,3.61,0.15,20.95,-1.29076672919,3.37135302969,25
receding_person_short,3.545,3.67,0.1,11.55,-0.734818424756,3.59568378513,26
receding_person_short,3.591,3.69,0.05,11.65,-0.745131608172,3.61398379721,21
receding_person_short,3.64999999999,3.71,0.05,11.4,-0.733308732807,3.63680605785,23.5
receding_person_short,3.704,3.62,0.05,11.4,-0.715519572172,3.54858165213,24
receding_person_short,3.84199999999,3.7,0.1,12.5,-0.800826571571,3.61229522634,25
receding_person_short,3.89,3.74,0.05,8,-0.520507397591,3.70360257709,25.5
receding_person_short,3.94799999999,3.76,0.1,11.4,-0.743191599826,3.68581961658,26.5
receding_person_short,3.99399999999,3.74,0.1,21.35,-1.36159990615,3.4833382976,24.5
receding_person_short,4.04399999999,3.74,0.05,21.65,-1.37981987502,3.476161261,25
receding_person_short,4.08899999999,3.78,0.05,-34.1,2.11921539945,3.13006806487,25.5
receding_person_short,4.243,3.77,0.05,10.4,-0.680557177595,3.70806444497,22
receding_person_short,4.33799999999,3.79,0.05,-40.95,2.48396664776,2.86251806856,24
receding_person_short,4.387,3.76,0.1,11.35,-0.73997483285,3.68646677006,25
receding_person_short,4.492,3.8,0.05,5.7,-0.377415049026,3.78121116585,23
receding_person_short,4.54399999999,3.8,0.05,-24.2,1.5577075286,3.46605644145,23.5
receding_person_short,4.70199999999,3.78,0.05,11.65,-0.763305549835,3.70212974348,23
receding_person_short,4.742,3.79,0.05,12.2,-0.800920978566,3.70440623934,24.5
receding_person_short,4.79299999999,3.79,0.05,13.4,-0.878324554243,3.68682057841,23
receding_person_short,5.148,3.88,0.25,7.4,-0.499726914721,3.84768411005,14.5
receding_person_short,5.2,3.9,0.3,6.7,-0.455015874687,3.8733655332,19
receding_person_short,5.242,3.91,0.15,7.45,-0.506974290141,3.87699330269,22.5
receding_person_short,5.291,3.76,0.05,21.4,-1.37193670911,3.50076986764,20.5
receding_person_short,5.34699999999,3.77,0.05,-46.45,2.73239568859,2.59748220417,20.5
receding_person_short,5.49099999999,3.79,0.15,19.95,-1.29314791165,3.5625648736,22
receding_person_short,5.598,3.77,0.1,22.2,-1.42445976631,3.49053210473,21.5
receding_person_short,5.647,3.74,0.15,21.55,-1.37375073058,3.47856420528,20.5
receding_person_short,5.69799999999,3.7,0.15,21.7,-1.36806300191,3.43779051468,23
receding_person_short,5.73999999999,3.72,0.15,22,-1.39353652751,3.44912393899,21.5
receding_person_short,5.79299999999,3.77,0.15,22.3,-1.43054972142,3.48804063831,23.5
receding_person_short,5.898,3.76,0.2,21.9,-1.40243406249,3.48866431466,22.5
receding_person_short,5.94899999999,3.77,0.2,22.5,-1.44271654002,3.48302583757,23.5
receding_person_short,5.99099999999,3.82,0.15,12.3,-0.81377607557,3.73231409434,23.5
receding_person_short,6.041,3.93,0.05,9.4,-0.64187103161,3.87722859512,17
receding_person_short,6.08799999999,3.93,0.1,7.8,-0.533362199667,3.89363901305,27
receding_person_short,6.14599999999,3.88,0.1,13.15,-0.882704560551,3.77825788675,27.5
receding_person_short,6.201,3.9,0.1,11.8,-0.797534602183,3.81758281617,28
receding_person_short,6.30099999999,3.9,0.1,7.15,-0.48542286993,3.8696724199,26.5
receding_person_short,6.35399999999,3.93,0.1,8.3,-0.567319869934,3.88883635104,24
receding_person_short,6.397,3.93,0.05,12.4,-0.843909835767,3.83832205385,28.5
receding_person_short,6.45,3.93,0.05,12.05,-0.820447260966,3.84340555913,26
receding_person_short,6.492,3.94,0.05,13.9,-0.94649848736,3.82462293742,23.5
receding_person_short,6.541,3.93,0.05,9.3,-0.635103016936,3.87834296548,24.5
receding_person_short,6.587,4.06,0.05,19.3,-1.34188843442,3.83183186343,22.5
receding_person_short,6.69899999999,3.98,0.05,18.95,-1.29247678172,3.76429326285,25
receding_person_short,7.696,3.96,0.05,7.4,-0.510030562447,3.92701780304,22
receding_person_short,7.79399999999,3.96,0.1,6.65,-0.458583792048,3.93335745969,20.5
receding_person_short,7.83799999999,3.97,0.15,7,-0.483821293318,3.94040822202,18.5
receding_person_short,8.951,3.99,0.1,8.05,-0.558748506886,3.95068349859,20
receding_person_short,9.04299999999,4,0.1,7.4,-0.51518238631,3.96668464953,21.5
receding_person_short,9.08799999999,4.06,0.05,20.9,-1.44835627724,3.79287016574,21
receding_person_short,9.2,4.09,0.1,19.15,-1.34169340687,3.86367167367,23.5
receding_person_short,9.245,4,0.05,19.65,-1.34509416852,3.76705742959,21
receding_person_short,9.295,4.12,0.1,19.95,-1.40574390396,3.8727618151,21.5
receding_person_short,9.44899999999,4.06,0.05,18.45,-1.28489648676,3.85131679018,19.5
receding_person_short,9.7,4.18,0.05,5.3,-0.386109055527,4.16212923841,23.5
receding_person_short,11.388,4.03,0.15,7.2,-0.505092931264,3.9982222463,19
receding_person_short,12.641,4.13,0.05,-49.7,3.14982020164,2.67124178938,18.5
receding_person_short,12.686,4.01,0.05,9.55,-0.665292040241,3.95442619114,17.5
